C4.5,1-NN,NaiveBayes,Kernel,CN2
0.219,0.202,0.249,0.165,0.261
0.803,0.750,0.813,0.692,0.798
0.859,0.814,0.845,0.542,0.816
0.809,0.774,0.673,0.275,0.785
0.768,0.790,0.727,0.872,0.706
0.759,0.654,0.734,0.703,0.714
0.693,0.611,0.572,0.689,0.572
0.915,0.857,0.860,0.700,0.777
0.544,0.531,0.558,0.439,0.541
0.855,0.796,0.857,0.607,0.809
0.945,0.954,0.978,0.541,0.858
0.725,0.705,0.739,0.625,0.717
0.674,0.736,0.721,0.356,0.704
0.801,0.357,0.520,0.309,0.520
0.785,0.770,0.841,0.659,0.759
0.906,0.359,0.895,0.641,0.918
0.710,0.402,0.728,0.120,0.674
0.691,0.827,0.667,0.527,0.638
0.743,0.739,0.830,0.549,0.746
0.990,0.482,0.941,0.857,0.990
0.867,0.098,0.915,0.986,0.784
0.821,0.872,0.815,0.885,0.778
0.893,0.824,0.902,0.739,0.885
0.799,0.655,0.925,0.517,0.755
0.845,0.731,0.693,0.653,0.704
0.741,0.701,0.591,0.663,0.619
0.799,0.994,0.603,0.269,0.621
0.949,0.955,0.989,0.770,0.954
0.555,0.505,0.569,0.312,0.556
0.928,0.928,0.945,0.419,0.897
